serial_number,list_year,date_recorded,town,address,assessed_value,sale_amount15,sales_ratio16,property_type,residential_type
2020348,2020,2021-09-13T00:00:00,Ansonia,230 WAKELEE AVE,150500,325000,0.463,Commercial,
20002,2020,2020-10-02T00:00:00,Ashford,390 TURNPIKE RD,253000,430000,0.5883,Residential,Single Family
200212,2020,2021-03-09T00:00:00,Avon,5 CHESTNUT DRIVE,130400,179900,0.7248,Residential,Condo
200243,2020,2021-04-13T00:00:00,Avon,111 NORTHINGTON DRIVE,619290,890000,0.6958,Residential,Single Family
200377,2020,2021-07-02T00:00:00,Avon,70 FAR HILLS DRIVE,862330,1447500,0.5957,Residential,Single Family
200109,2020,2020-12-09T00:00:00,Avon,57 FAR HILLS DRIVE,847520,1250000,0.678,Residential,Single Family
2020180,2020,2021-03-01T00:00:00,Berlin,1539 FARMINGTON AVE,234200,130000,1.8015,Residential,Two Family
2020313,2020,2021-07-01T00:00:00,Berlin,216 WATCH HILL RD,412000,677500,0.6081,Residential,Single Family
200097,2020,2021-06-04T00:00:00,Bethany,23 AMITY RD,511000,795000,0.6427,Commercial,
20139,2020,2020-12-16T00:00:00,Bethel,16 DEEPWOOD DRIVE,171360,335000,0.5115,Residential,Single Family
200086,2020,2021-08-10T00:00:00,Bethlehem,39 WOODLAND RD,168900,352000,0.4798,Residential,Single Family
2000381,2020,2021-09-13T00:00:00,Bloomfield,9 SADDLE RIDGE,163730,250000,0.6549,Residential,Condo
200258,2020,2021-01-22T00:00:00,Branford,34 SUNRISE COVE CAMP,530500,700000,0.7578,Residential,Single Family
200804,2020,2021-09-28T00:00:00,Branford,119 MONTOWESE ST,455100,650000,0.7001,Commercial,
201295,2020,2021-09-09T00:00:00,Bristol,609 CAMP ST,144340,249900,0.5775,Residential,Single Family
200032,2020,2020-10-08T00:00:00,Bristol,9 LESLIE COURT,94920,155000,0.6123,Residential,Single Family
200354,2020,2020-12-29T00:00:00,Bristol,391 TIFFANY LA,173740,299000,0.581,Residential,Single Family
200527,2020,2021-03-01T00:00:00,Bristol,25 WARD ST,85680,183000,0.4681,Residential,Two Family
201212,2020,2021-08-23T00:00:00,Bristol,8 JENNINGS TERR,88060,91000,0.9676,Residential,Single Family
20000050,2020,2020-11-05T00:00:00,Brookfield,4 CHELSEA CT,105110,160000,0.6569375,Residential,Condo
20000179,2020,2021-02-22T00:00:00,Brookfield,72 HOMESTEAD LN,94770,170000,0.5574,Residential,Condo
200042,2020,2021-05-19T00:00:00,Canaan,93 MAIN ST,355800,599000,0.5939,Residential,Two Family
200117,2020,2021-04-12T00:00:00,Canton,52 COUNTRY LANE,160850,280000,0.5744,Residential,Single Family
2000230,2020,2021-03-16T00:00:00,Cheshire,50 ABBEY CT,210940,365000,0.5779,Residential,Single Family
2000330,2020,2021-05-20T00:00:00,Cheshire,844 HIGHLAND AVE,144220,204000,0.7069,Residential,Single Family
200078,2020,2021-09-20T00:00:00,Chester,6 SUNSET AVE,250100,418800,0.5971,Residential,Single Family
200268,2020,2021-07-09T00:00:00,Colchester,347 CABIN RD,104000,350000,0.2971,Vacant Land,
200035,2020,2020-10-29T00:00:00,Colchester,160 SHADBUSH DR,223900,392000,0.5711,Residential,Single Family
200024,2020,2020-11-09T00:00:00,Columbia,WEBSTER LANE,60300,75000,0.804,Vacant Land,
200074,2020,2021-09-01T00:00:00,Cornwall,131 KENT RD,246100,385000,0.6392,Commercial,
200101,2020,2021-01-07T00:00:00,Coventry,74 LAKEVIEW DR,142800,245000,0.5828,Residential,Single Family
200282,2020,2021-07-15T00:00:00,Coventry,1467 SOUTH ST,359800,480000,0.7495,Commercial,
200039,2020,2020-11-06T00:00:00,Coventry,2075 MAIN ST,43700,25000,1.748,Vacant Land,
201328,2020,2021-08-06T00:00:00,Cromwell,6 BELHAVEN,410670,740000,0.5549,Residential,Condo
200077,2020,2020-12-08T00:00:00,Cromwell,60 NORTH RD,174650,259000,0.6743,Vacant Land,
200195,2020,2021-04-26T00:00:00,Cromwell,34 SHUNPIKE ROAD,3360000,5214750,0.6443,Commercial,
200742,2020,2021-03-29T00:00:00,Danbury,17 OHEHYAHTAH PL,339100,550000,0.6165,Residential,Single Family
